anzahl;vorname;geschlecht;position
50;Marie;w;2
45;Sophie;w;2
40;Adam;m;1
31;Alexander;m;2
30;Emilia;w;1
28;Ali;m;1
25;Maria;w;2
24;Anna;w;1
23;Ella;w;1
22;Ali;m;2
21;Amir;m;1
21;Benjamin;m;1
21;Maria;w;1
21;David;m;1
21;Mira;w;1
21;Emil;m;1
21;Leon;m;1
21;Louis;m;1
21;Noah;m;1
20;Hannah;w;1
20;Omar;m;1
19;Mila;w;1
19;Elias;m;1
19;Oskar;m;1
19;Paul;m;1
18;Charlotte;w;1
18;Leonie;w;1
18;Karl;m;1
17;Julian;m;1
17;Yusuf;m;1
16;Fatima;w;1
16;Lina;w;1
16;Mia;w;1
16;Sophia;w;1
16;Alexander;m;1
16;Jonas;m;1
16;Lukas;m;1
16;Vincent;m;1
15;David;m;2
15;Marlene;w;1
15;Paula;w;1
15;Ibrahim;m;1
15;Maximilian;m;1
15;Muhammad;m;1
14;Maximilian;m;2
14;Clara;w;1
14;Olivia;w;1
14;Felix;m;1
14;Jonathan;m;1
14;Leonard;m;1
14;Milan;m;1
14;Mohammad;m;1
13;Charlotte;w;2
13;Paul;m;2
13;Emilia;w;2
13;Luise;w;2
13;Amira;w;1
13;Elisa;w;1
13;Emily;w;1
13;Emma;w;1
13;Lena;w;1
13;Zeynep;w;1
13;Anton;m;1
13;Ben;m;1
13;Leo;m;1
13;Muhammed;m;1
12;Benjamin;m;2
12;Elif;w;1
12;Levi;m;1
12;Luis;m;1
11;Elisabeth;w;2
11;Johanna;w;2
11;Ava;w;1
11;Eva;w;1
11;Hanna;w;1
11;Lara;w;1
11;Laura;w;1
11;Liv;w;1
11;Marie;w;1
11;Sarah;w;1
11;Sophie;w;1
11;Jakob;m;1
11;Liam;m;1
11;Mehmet;m;1
11;Niklas;m;1
11;Samuel;m;1
11;Theodor;m;1
11;Valentin;m;1
10;Felix;m;2
10;Sophia;w;2
10;Amelie;w;1
10;Elena;w;1
10;Ida;w;1
10;Isabella;w;1
10;Johanna;w;1
10;Martha;w;1
10;Sofia;w;1
10;Ahmad;m;1
10;Bruno;m;1
10;Henry;m;1
10;Max;m;1
10;Mohamed;m;1
10;Theo;m;1
9;Emil;m;2
9;Michael;m;2
9;Valentin;m;2
9;Nur;w;2
9;Antonia;w;1
9;Elisabeth;w;1
9;Greta;w;1
9;Klara;w;1
9;Mina;w;1
9;Nora;w;1
9;Nour;w;1
9;Arthur;m;1
9;Pauline;w;1
9;Carl;m;1
9;Rosa;w;1
9;Finn;m;1
9;Sara;w;1
9;Hamza;m;1
9;Victoria;w;1
9;Julius;m;1
9;Malik;m;1
9;Mats;m;1
8;Adrian;m;2
8;Daniel;m;2
8;Elias;m;2
8;Johann;m;2
8;Karl;m;2
8;Alessia;w;1
8;Alina;w;1
8;Amelia;w;1
8;Abdullah;m;1
8;Jana;w;1
8;Edgar;m;1
8;Luna;w;1
8;Franz;m;1
8;Malak;w;1
8;Friedrich;m;1
8;Mathilda;w;1
8;Jamal;m;1
8;Maya;w;1
8;Jan;m;1
8;Paulina;w;1
8;Leonardo;m;1
8;Romy;w;1
8;Luca;m;1
8;Wilma;w;1
8;Milo;m;1
8;Mohamad;m;1
8;Moritz;m;1
8;Philipp;m;1
8;Raphael;m;1
8;Yasin;m;1
7;Antonia;w;2
7;Marlene;w;2
7;Sofia;w;2
7;Valentina;w;2
7;Can;m;2
7;Frederik;m;2
7;Gabriel;m;2
7;Jonathan;m;2
7;Leonard;m;2
7;Josephine;w;1
7;Lisa;w;1
7;Luisa;w;1
7;Maja;w;1
7;Meryem;w;1
7;Nele;w;1
7;Aaron;m;1
7;Selin;w;1
7;Adrian;m;1
7;Thea;w;1
7;Alessio;m;1
7;Emir;m;1
7;Henri;m;1
7;Hussein;m;1
7;Jakub;m;1
7;Johan;m;1
7;John;m;1
7;Joshua;m;1
7;Lian;m;1
7;Malek;m;1
7;Mert;m;1
7;Miran;m;1
7;Mohammed;m;1
7;Ole;m;1
7;Ömer;m;1
6;Elisabeth;w;3
6;Marie;w;3
6;Amalia;w;2
6;Amelie;w;2
6;Anna;w;2
6;Josephine;w;2
6;Katharina;w;2
6;Louise;w;2
6;Constantin;m;2
6;Victoria;w;2
6;Efe;m;2
6;Joel;m;2
6;Julius;m;2
6;Leo;m;2
6;Liam;m;2
6;Louis;m;2
6;Ludwig;m;2
6;Otto;m;2
6;Alma;w;1
6;Amina;w;1
6;Ela;w;1
6;Frida;w;1
6;Frieda;w;1
6;Helena;w;1
6;Jasmin;w;1
6;Julia;w;1
6;Lea;w;1
6;Lia;w;1
6;Lilly;w;1
6;Lily;w;1
6;Luise;w;1
6;Melisa;w;1
6;Nina;w;1
6;Ayaz;m;1
6;Caspar;m;1
6;Erik;m;1
6;Hannes;m;1
6;Jasper;m;1
6;Johann;m;1
6;Karim;m;1
6;Kevin;m;1
6;Matteo;m;1
6;Mattis;m;1
6;Mika;m;1
6;Musa;m;1
6;Mustafa;m;1
6;Richard;m;1
5;Elise;w;2
5;Helene;w;2
5;Lilly;w;2
5;Matilda;w;2
5;Pauline;w;2
5;Rose;w;2
5;Sofie;w;2
5;Su;w;2
5;Antonio;m;2
5;August;m;2
5;Christian;m;2
5;Friedrich;m;2
5;Leopold;m;2
5;Levi;m;2
5;Luis;m;2
5;Max;m;2
5;Noah;m;2
5;Raphael;m;2
5;Theodor;m;2
5;Thomas;m;2
5;Alva;w;1
5;Amal;w;1
5;Azra;w;1
5;Carla;w;1
5;Celine;w;1
5;Ecrin;w;1
5;Flora;w;1
5;Juna;w;1
5;Katharina;w;1
5;Lana;w;1
5;Leni;w;1
5;Linda;w;1
5;Maryam;w;1
5;Matilda;w;1
5;Amar;m;1
5;Medina;w;1
5;Aras;m;1
5;Melek;w;1
5;Baran;m;1
5;Melina;w;1
5;Elyas;m;1
5;Nisa;w;1
5;Emilio;m;1
5;Stella;w;1
5;Johannes;m;1
5;Tilda;w;1
5;Jona;m;1
5;Valentina;w;1
5;Justus;m;1
5;Viktoria;w;1
5;Konstantin;m;1
5;Levin;m;1
5;Linus;m;1
5;Ludwig;m;1
5;Luka;m;1
5;Luke;m;1
5;Mahmoud;m;1
5;Mateo;m;1
5;Nils;m;1
5;Pepe;m;1
5;Sam;m;1
5;Simon;m;1
5;Taha;m;1
5;Victor;m;1
5;Yiğit;m;1
5;Yunus;m;1
4;Alexander;m;3
4;Michael;m;3
4;Anh;w;3
4;Anna;w;3
4;Charlotte;w;3
4;Maria;w;3
4;Sophie;w;3
4;Alice;w;2
4;Carlotta;w;2
