anzahl;vorname;geschlecht;position
13;Marie;w;2
8;Maria;w;2
8;Adrian;m;1
8;Emilia;w;1
8;Emma;w;1
8;Mila;w;1
7;Ali;m;1
7;Leon;m;1
7;Noah;m;1
6;Ali;m;2
6;Alina;w;1
6;Luca;m;1
6;Maja;w;1
6;Maximilian;m;1
5;Sophie;w;2
5;Clara;w;1
5;Elias;m;1
5;Elif;w;1
5;Emil;m;1
5;Sophia;w;1
5;Jonas;m;1
5;Mohammad;m;1
4;Emin;m;2
4;Anna;w;2
4;Emily;w;1
4;Ida;w;1
4;Alexander;m;1
4;Lea;w;1
4;Amir;m;1
4;Lisa;w;1
4;Anton;m;1
4;Liya;w;1
4;Ben;m;1
4;Melina;w;1
4;Daniel;m;1
4;Mia;w;1
4;Felix;m;1
4;Finn;m;1
4;Jonathan;m;1
4;Karl;m;1
4;Lukas;m;1
4;Malik;m;1
4;Milan;m;1
4;Muhammed;m;1
4;Paul;m;1
4;Yusuf;m;1
3;Luise;w;3
3;Alexander;m;2
3;Elias;m;2
3;Joel;m;2
3;Emma;w;2
3;Leonard;m;2
3;Isabell;w;2
3;Juna;w;2
3;Melek;w;2
3;Charlotte;w;1
3;Dilara;w;1
3;Finja;w;1
3;Hannah;w;1
3;Leni;w;1
3;Leonie;w;1
3;Lia;w;1
3;Sara;w;1
3;Sophie;w;1
3;Yara;w;1
3;Adam;m;1
3;Ahmet;m;1
3;Alen;m;1
3;Arthur;m;1
3;Benjamin;m;1
3;Hamza;m;1
3;Jayden;m;1
3;Joel;m;1
3;Juri;m;1
3;Leandro;m;1
3;Levi;m;1
3;Liam;m;1
3;Marlon;m;1
3;Michael;m;1
3;Mikail;m;1
3;Vincent;m;1
3;Yasin;m;1
3;Youssef;m;1
2;Junior;m;3
2;Sophia;w;3
2;Cem;m;2
2;Constantin;m;2
2;Ephraim;m;2
2;Alexandra;w;2
2;Fatih;m;2
2;Antonia;w;2
2;Friedrich;m;2
2;Daphne;w;2
2;Gabriel;m;2
2;Elisa;w;2
2;Grzegorz;m;2
2;Elisabeth;w;2
2;Johannes;m;2
2;Elise;w;2
2;Josef;m;2
2;Emily;w;2
2;Joshua;m;2
2;Eva;w;2
2;Julian;m;2
2;Grace;w;2
2;Junior;m;2
2;Jasmin;w;2
2;Leander;m;2
2;Katarzyna;w;2
2;Lucas;m;2
2;Malou;w;2
2;Mario;m;2
2;Nur;w;2
2;Martin;m;2
2;Sophia;w;2
2;Matthew;m;2
2;Valentina;w;2
2;Maximilian;m;2
2;Victoria;w;2
2;Michael;m;2
2;Zeynep;w;2
2;Nathan;m;2
2;Noel;m;2
2;Paul;m;2
2;Taha;m;2
2;Valentin;m;2
2;Abby;w;1
2;Alicia;w;1
2;Amelia;w;1
2;Amelie;w;1
2;Asya;w;1
2;Daniela;w;1
2;Eda;w;1
2;Elena;w;1
2;Elisa;w;1
2;Elise;w;1
2;Emelie;w;1
2;Erva;w;1
2;Esma;w;1
2;Eva;w;1
2;Fatima;w;1
2;Greta;w;1
2;Hanna;w;1
2;Helena;w;1
2;Adem;m;1
2;Isabella;w;1
2;Ahmed;m;1
2;Jamila;w;1
2;Alan;m;1
2;Johanna;w;1
2;Alessio;m;1
2;Julia;w;1
2;Arda;m;1
2;Karolina;w;1
2;Atakan;m;1
2;Kim;w;1
2;Can;m;1
2;Klara;w;1
2;Charlie;m;1
2;Lara;w;1
2;David;m;1
2;Larissa;w;1
2;Dominik;m;1
2;Leen;w;1
2;Ebubekir;m;1
2;Leyla;w;1
2;Elyas;m;1
2;Lilly;w;1
2;Emilio;m;1
2;Lina;w;1
2;Emir;m;1
2;Louisa;w;1
2;Erik;m;1
2;Lucy;w;1
2;Finnley;m;1
2;Luna;w;1
2;Fynn;m;1
2;Mara;w;1
2;Gabriel;m;1
2;Maria;w;1
2;Hassan;m;1
2;Marie;w;1
2;Ibrahim;m;1
2;Marla;w;1
2;Ilay;m;1
2;Merjem;w;1
2;Ismail;m;1
2;Meryem;w;1
2;Jakob;m;1
