anzahl;vorname;geschlecht;position
35;Marie;w;2
34;Emilia;w;1
31;Sophie;w;2
31;Oskar;m;1
25;Ben;m;1
24;Emma;w;1
24;Mia;w;1
23;Alexander;m;2
21;Karl;m;1
21;Maximilian;m;1
20;Charlotte;w;1
20;Jonas;m;1
20;Leon;m;1
20;Paul;m;1
19;Alexander;m;1
19;Elias;m;1
19;Finn;m;1
18;Lina;w;1
18;Mila;w;1
18;Emil;m;1
18;Felix;m;1
17;Charlotte;w;2
17;Greta;w;1
17;Johanna;w;1
16;Paul;m;2
16;Pauline;w;1
15;Emily;w;1
15;Sophia;w;1
15;Anton;m;1
15;Louis;m;1
15;Luca;m;1
14;Leni;w;1
13;Maria;w;2
13;Amelie;w;1
13;Hannah;w;1
13;Mathilda;w;1
13;Milan;m;1
13;Nele;w;1
13;Tim;m;1
12;Laura;w;1
12;Max;m;1
12;Lea;w;1
12;Moritz;m;1
12;Lena;w;1
12;Luna;w;1
11;Joel;m;2
11;Maximilian;m;2
11;Jakob;m;1
11;Julian;m;1
11;Ella;w;1
11;Leo;m;1
11;Frieda;w;1
11;Leonard;m;1
11;Leonie;w;1
11;Lukas;m;1
11;Luisa;w;1
11;Maxim;m;1
11;Maria;w;1
11;Theo;m;1
10;Elias;m;2
10;Luise;w;2
10;Friedrich;m;2
10;Marie;w;1
10;Adam;m;1
10;Stella;w;1
10;Erik;m;1
10;Fynn;m;1
9;Emilia;w;2
9;Luca;m;2
9;Anna;w;1
9;Maya;w;1
9;Bruno;m;1
9;Liam;m;1
8;Alina;w;1
8;Hanna;w;1
8;Adrian;m;1
8;Julia;w;1
8;Benjamin;m;1
8;Lisa;w;1
8;Damian;m;1
8;Lotta;w;1
8;Daniel;m;1
8;Sophie;w;1
8;Emilio;m;1
8;Valentina;w;1
8;Jonathan;m;1
8;Noah;m;1
8;Ole;m;1
8;Philipp;m;1
8;Theodor;m;1
7;Anna;w;2
7;Anton;m;2
7;Johanna;w;2
7;Emil;m;2
7;Luisa;w;2
7;Karl;m;2
7;Noah;m;2
7;Peter;m;2
7;Antonia;w;1
7;Elena;w;1
7;Fiona;w;1
7;Jasmin;w;1
7;Juna;w;1
7;David;m;1
7;Lara;w;1
7;Edgar;m;1
7;Maja;w;1
7;Friedrich;m;1
7;Nina;w;1
7;Henry;m;1
7;Nora;w;1
7;Lennard;m;1
7;Paula;w;1
7;Luis;m;1
7;Pia;w;1
7;Zoe;w;1
6;Grace;w;2
6;Isabelle;w;2
6;Josephine;w;2
6;Felix;m;2
6;Rosalie;w;2
6;Valentina;w;2
6;Arthur;m;1
6;Carl;m;1
6;Anastasia;w;1
6;Fabian;m;1
6;Clara;w;1
6;Hannes;m;1
6;Frida;w;1
6;Julius;m;1
6;Ida;w;1
6;Lennox;m;1
6;Isabella;w;1
6;Linus;m;1
6;Josephine;w;1
6;Lio;m;1
6;Klara;w;1
6;Lucas;m;1
6;Luise;w;1
6;Mateo;m;1
6;Marlene;w;1
6;Matheo;m;1
6;Victoria;w;1
6;Mohammad;m;1
6;Niklas;m;1
6;Oliver;m;1
5;Maria;w;3
5;Anh;m;2
5;Louis;m;2
5;Fabienne;w;2
5;Michael;m;2
5;Niklas;m;2
5;Oskar;m;2
5;Theodor;m;2
5;Alice;w;1
5;Alma;w;1
5;Amelia;w;1
5;Alex;m;1
5;Daria;w;1
5;Fritz;m;1
5;Elisa;w;1
5;Jason;m;1
5;Eva;w;1
5;John;m;1
5;Helena;w;1
5;Kilian;m;1
5;Isabell;w;1
5;Levi;m;1
5;Jolina;w;1
5;Lias;m;1
5;Lilly;w;1
5;Mats;m;1
5;Louisa;w;1
5;Matteo;m;1
5;Lucy;w;1
5;Mattis;m;1
5;Mara;w;1
5;Mika;m;1
5;Melina;w;1
5;Omar;m;1
5;Merle;w;1
5;Pepe;m;1
5;Mina;w;1
5;Timo;m;1
5;Tilda;w;1
5;Vanessa;w;1
4;Sophie;w;3
4;Elisa;w;2
4;Ida;w;2
4;Isabella;w;2
4;Maja;w;2
4;Arthur;m;2
4;Martha;w;2
4;Benjamin;m;2
4;Constantin;m;2
4;Dean;m;2
4;Frederik;m;2
4;Luis;m;2
4;Maxim;m;2
4;Noel;m;2
4;Amir;m;1
4;Armin;m;1
4;Amy;w;1
4;Benedikt;m;1
4;Amélie;w;1
4;Christian;m;1
4;Angela;w;1
4;Frederik;m;1
4;Dilara;w;1
4;Gabriel;m;1
4;Edda;w;1
4;Gregor;m;1
4;Elisabeth;w;1
4;Henri;m;1
4;Elli;w;1
4;Ibrahim;m;1
4;Finja;w;1
4;Jan;m;1
4;Hedi;w;1
4;Jasper;m;1
4;Leyla;w;1
4;Jim;m;1
4;Lotte;w;1
4;Konstantin;m;1
4;Malina;w;1
4;Luke;m;1
4;Marla;w;1
4;Mark;m;1
4;Martha;w;1
4;Milo;m;1
4;Melissa;w;1
4;Nils;m;1
4;Milena;w;1
4;Piet;m;1
4;Miriam;w;1
4;Raphael;m;1
4;Olivia;w;1
4;Sebastian;m;1
4;Paulina;w;1
4;Till;m;1
4;Romy;w;1
4;Tobias;m;1
4;Rosa;w;1
4;Tom;m;1
4;Selma;w;1
4;Valentin;m;1
4;Zoey;w;1
4;Vincent;m;1
4;Đức;m;1
3;Martin;m;3
3;Alicia;w;2
3;An;w;2
3;Anni;w;2
3;Elise;w;2
3;Frieda;w;2
3;Jane;w;2
3;Jasmin;w;2
3;Ali;m;2
3;Karlotta;w;2
3;Ben;m;2
3;Katharina;w;2
3;Bernd;m;2
3;Lena;w;2
3;David;m;2
3;Leonie;w;2
3;Eduard;m;2
3;Lucia;w;2
3;Fritz;m;2
3;Magdalena;w;2
3;Fynn;m;2
3;Marlene;w;2
3;Gustav;m;2
3;Nhi;w;2
3;Henry;m;2
3;Olivia;w;2
3;Jay;m;2
3;Sophia;w;2
3;Jens;m;2
3;Josef;m;2
3;Jürgen;m;2
3;Kurt;m;2
3;Levi;m;2
3;Linus;m;2
3;Martin;m;2
3;Matthias;m;2
3;Minh;m;2
3;Pascal;m;2
3;Samir;m;2
3;Sebastian;m;2
3;Ulrich;m;2
3;Valentin;m;2
3;Adelina;w;1
3;Alessia;w;1
3;Ahmad;m;1
3;Alexandra;w;1
3;Ali;m;1
3;Amilia;w;1
3;Azad;m;1
3;Amina;w;1
3;Bela;m;1
3;Annabell;w;1
3;Bennet;m;1
3;Anouk;w;1
3;Björn;m;1
3;Ava;w;1
3;Carlos;m;1
3;Bảo;w;1
3;Chris;m;1
3;Elina;w;1
3;Clemens;m;1
3;Elise;w;1
3;Dean;m;1
3;Emely;w;1
3;Eddy;m;1
3;Emmi;w;1
3;Emilian;m;1
3;Enie;w;1
3;Emir;m;1
3;Evelyn;w;1
3;Enno;m;1
3;Fatma;w;1
3;Eric;m;1
3;Helene;w;1
3;Finley;m;1
3;Henriette;w;1
3;Finnlay;m;1
3;Hermine;w;1
3;Florian;m;1
3;Isabelle;w;1
3;Franz;m;1
3;Jana;w;1
3;Helge;m;1
3;Karla;w;1
3;Henrik;m;1
3;Käthe;w;1
3;Hugo;m;1
3;Lilith;w;1
3;Jamal;m;1
3;Lore;w;1
3;Jamie;m;1
3;Mariella;w;1
3;Jannis;m;1
3;Mia-Sophie;w;1
3;Janosch;m;1
3;Milla;w;1
3;Johannes;m;1
3;Mira;w;1
3;Kai;m;1
3;Rosalie;w;1
3;Lev;m;1
3;Sara;w;1
3;Marc;m;1
3;Sham;w;1
3;Marek;m;1
3;Sofia;w;1
3;Michael;m;1
3;Viktoria;w;1
3;Michel;m;1
3;Muhammad;m;1
3;Nathan;m;1
3;Nico;m;1
3;Oscar;m;1
3;Otto;m;1
3;Samir;m;1
3;Simon;m;1
3;Timur;m;1
3;Tony;m;1
3;Tyler;m;1
3;Wilhelm;m;1
2;An;m;3
2;Günther;m;3
2;Anna;w;3
2;Lothar;m;3
2;Linh;w;3
2;Minh;m;3
2;Luana;w;3
2;Luise;w;3
2;Nhiên;w;3
2;Alina;w;2
2;Amanda;w;2
2;Anita;w;2
2;Anne;w;2
2;Antonia;w;2
2;Aurelia;w;2
2;Aurora;w;2
2;Ava;w;2
2;Barbara;w;2
2;Caroline;w;2
2;Chi;w;2
2;Christina;w;2
2;Cornelia;w;2
2;Dorothea;w;2
2;Alfred;m;2
2;Edith;w;2
2;André;m;2
2;Elaine;w;2
2;Aras;m;2
2;Elsa;w;2
2;August;m;2
2;Emilie;w;2
2;Aurel;m;2
2;Emma;w;2
2;Christian;m;2
2;Fiona;w;2
2;Damian;m;2
2;Flora;w;2
2;Daniel;m;2
2;Friederike;w;2
2;Dylan;m;2
2;Hedi;w;2
2;Edgar;m;2
2;Joleen;w;2
2;Elyas;m;2
2;Jolie;w;2
2;Enno;m;2
2;Juna;w;2
2;Enrico;m;2
2;Lara;w;2
2;Finn;m;2
2;Lilli;w;2
2;Florian;m;2
2;Lina;w;2
2;Frank;m;2
2;Louana;w;2
2;Gabriel;m;2
2;Louise;w;2
2;Hannes;m;2
2;Lucie;w;2
2;Henri;m;2
2;Luna;w;2
2;Jake;m;2
2;Malin;w;2
2;Jan;m;2
2;Marianne;w;2
2;Jasper;m;2
2;Matilda;w;2
2;Johannes;m;2
2;May;w;2
