anzahl;vorname;geschlecht;position
47;Marie;w;2
41;Sophie;w;2
33;Noah;m;1
30;Mia;w;1
29;Maria;w;2
27;Paul;m;1
26;Alexander;m;2
26;Emil;m;1
23;Ben;m;1
22;Elias;m;1
21;Charlotte;w;1
21;Felix;m;1
20;Emilia;w;1
20;Anton;m;1
19;Emma;w;1
18;Louis;m;1
17;Mira;w;1
17;Liam;m;1
16;Charlotte;w;2
16;Emily;w;1
16;Sophia;w;1
16;Erik;m;1
16;Jakob;m;1
16;Lukas;m;1
15;Emilia;w;2
15;Ella;w;1
15;Jonas;m;1
15;Oskar;m;1
14;Maximilian;m;2
14;Anna;w;1
14;Ida;w;1
14;Lilly;w;1
14;Adam;m;1
14;Leon;m;1
14;Theo;m;1
13;Luise;w;2
13;Lina;w;1
13;Marie;w;1
13;Mila;w;1
13;David;m;1
13;Finn;m;1
12;Juna;w;1
12;Lea;w;1
12;Sophie;w;1
11;David;m;2
11;Elisabeth;w;2
11;Helena;w;1
11;Josephine;w;1
11;Julian;m;1
11;Julia;w;1
11;Karl;m;1
11;Lara;w;1
11;Milan;m;1
11;Leonie;w;1
10;Elias;m;2
10;Luca;m;2
10;Johanna;w;2
10;kein;w;2
10;Benjamin;m;1
10;Elena;w;1
10;Fabian;m;1
10;Frieda;w;1
10;Henry;m;1
10;Hanna;w;1
10;Leo;m;1
10;Hannah;w;1
10;Moritz;m;1
10;Johanna;w;1
10;Vincent;m;1
10;Lena;w;1
10;Leni;w;1
10;noch;w;1
10;Nora;w;1
9;Vorname;w;3
9;Louis;m;2
9;Sophia;w;2
9;Alexander;m;1
9;Max;m;1
9;Milo;m;1
9;Tim;m;1
9;Amelie;w;1
9;Valentin;m;1
9;Greta;w;1
9;Lia;w;1
9;Lotta;w;1
9;Mathilda;w;1
9;Nele;w;1
9;Paula;w;1
9;Pia;w;1
9;Sofia;w;1
8;Emil;m;2
8;Isabella;w;2
8;Daniel;m;1
8;Jan;m;1
8;Jonathan;m;1
8;Joshua;m;1
8;Julius;m;1
8;Leonard;m;1
8;Luca;m;1
8;Marlon;m;1
8;Amelia;w;1
8;Raphael;m;1
8;Amy;w;1
8;Tom;m;1
8;Clara;w;1
8;Elise;w;1
8;Laura;w;1
8;Luise;w;1
8;Luna;w;1
8;Maja;w;1
8;Olivia;w;1
8;Valentina;w;1
7;Vorname;m;3
7;Ben;m;2
7;Can;m;2
7;Felix;m;2
7;Jakob;m;2
7;kein;m;2
7;Amalia;w;2
7;Levi;m;2
7;Lucia;w;2
7;Paul;m;2
7;Victoria;w;2
7;Samuel;m;2
7;Adrian;m;1
7;Jona;m;1
7;Jonah;m;1
7;Linus;m;1
7;Luis;m;1
7;Nicolas;m;1
7;Niklas;m;1
7;noch;m;1
7;Ava;w;1
7;Elisabeth;w;1
7;Flora;w;1
7;Isabella;w;1
7;Lisa;w;1
7;Louisa;w;1
7;Malia;w;1
7;Mara;w;1
7;Matilda;w;1
7;Mina;w;1
7;Sara;w;1
7;Zoe;w;1
6;Katharina;w;2
6;Anton;m;2
6;Louisa;w;2
6;Joel;m;2
6;Rosa;w;2
6;Lukas;m;2
6;Rose;w;2
6;Maxim;m;2
6;Michael;m;2
6;Sebastian;m;2
6;Ali;m;1
6;Arthur;m;1
6;Bruno;m;1
6;Emir;m;1
6;Eric;m;1
6;Jannis;m;1
6;Johann;m;1
6;Lennard;m;1
6;Lennox;m;1
6;Leopold;m;1
6;Levi;m;1
6;Matteo;m;1
6;Alma;w;1
6;Maximilian;m;1
6;Anastasia;w;1
6;Pepe;m;1
6;Cataleya;w;1
6;Rafael;m;1
6;Maria;w;1
6;Theodor;m;1
6;Paulina;w;1
6;Ronja;w;1
6;Thea;w;1
6;Tilda;w;1
5;Barbara;w;2
5;Fabienne;w;2
5;Helene;w;2
5;Andreas;m;2
5;Louise;w;2
5;Benjamin;m;2
5;Magdalena;w;2
5;Friedrich;m;2
5;Marleen;w;2
5;Fritz;m;2
5;Martha;w;2
5;Gabriel;m;2
5;Mathilda;w;2
5;Henri;m;2
5;Matilda;w;2
5;Jan;m;2
5;Jonathan;m;2
5;Noah;m;2
5;Noel;m;2
5;Rafael;m;2
5;Raphael;m;2
5;Aaron;m;1
5;Denis;m;1
5;Emilian;m;1
5;Enes;m;1
5;Ada;w;1
5;Fiete;m;1
5;Alva;w;1
5;Frederik;m;1
5;Amira;w;1
5;Fritz;m;1
5;Aurelia;w;1
5;Ilyas;m;1
5;Carlotta;w;1
5;Jamie;m;1
5;Eva;w;1
5;Janosch;m;1
5;Finja;w;1
5;Jasper;m;1
5;Fiona;w;1
5;Kilian;m;1
5;Frida;w;1
5;Lennart;m;1
5;Klara;w;1
5;Mateo;m;1
5;Melissa;w;1
5;Mattis;m;1
5;Milena;w;1
5;Mohammad;m;1
5;Sarah;w;1
5;Phil;m;1
5;Selma;w;1
5;Samuel;m;1
5;Simon;m;1
5;Till;m;1
5;Vito;m;1
5;Yasin;m;1
4;Marie;w;3
4;Amelie;w;2
4;Anna;w;2
4;Carlotta;w;2
4;Elena;w;2
4;Greta;w;2
4;Isabel;w;2
4;Albert;m;2
4;Jasmin;w;2
4;Arthur;m;2
4;Lea;w;2
4;Constantin;m;2
4;Lia;w;2
4;Daniel;m;2
4;Marlene;w;2
4;Erik;m;2
4;Pauline;w;2
4;Finn;m;2
4;Sofie;w;2
4;Johann;m;2
4;Valentina;w;2
4;Joshua;m;2
4;Leander;m;2
4;Leon;m;2
4;Leonard;m;2
4;Matthias;m;2
4;Mika;m;2
4;Moritz;m;2
4;Ole;m;2
4;Peter;m;2
4;Robert;m;2
4;Valentin;m;2
4;Werner;m;2
4;Alexandra;w;1
4;Annika;w;1
4;Antonia;w;1
4;Diana;w;1
4;Elsa;w;1
4;Ahmad;m;1
4;Helene;w;1
4;Ahmed;m;1
4;Isabelle;w;1
4;Alessio;m;1
4;Karla;w;1
4;August;m;1
4;Linda;w;1
4;Edgar;m;1
4;Lola;w;1
4;Elijah;m;1
4;Lore;w;1
4;Friedrich;m;1
4;Lucy;w;1
4;Fynn;m;1
4;Malina;w;1
4;Hannes;m;1
4;Marlene;w;1
