anzahl;vorname;geschlecht
111;Marie;w
105;Sophie;w
73;Charlotte;w
73;Emilia;w
68;Alexander;m
65;Maria;w
54;Elias;m
54;Noah;m
53;Maximilian;m
51;Paul;m
50;Johanna;w
49;Luise;w
47;Felix;m
47;Sophia;w
45;Elisabeth;w
41;Ali;m
38;Leon;m
38;Mia;w
37;Anton;m
37;Jonathan;m
36;Anna;w
35;Emil;m
33;Johann;m
33;Clara;w
32;David;m
32;Jakob;m
32;Theodor;m
31;Luisa;w
31;Julian;m
31;Leonard;m
30;Ida;w
30;Mila;w
30;Oskar;m
29;Emma;w
29;Friedrich;m
29;Karl;m
27;Helena;w
27;Adam;m
27;Jonas;m
27;Konstantin;m
26;Julius;m
26;Liam;m
25;Lina;w
25;Henri;m
25;Theo;m
24;Lea;w
24;Marlene;w
24;Benjamin;m
24;Moritz;m
23;Elisa;w
23;Leonie;w
23;Johannes;m
23;Joshua;m
22;Amelie;w
22;Katharina;w
22;Victoria;w
22;Louis;m
22;Samuel;m
21;Helene;w
21;Josephine;w
21;Mira;w
21;Sarah;w
21;Daniel;m
21;Frederik;m
21;Leo;m
21;Luca;m
21;Milan;m
21;Valentin;m
20;Ella;w
20;Sofia;w
20;Linus;m
20;Lukas;m
20;Michael;m
20;Philipp;m
19;Ava;w
19;Hannah;w
19;Isabella;w
19;Lia;w
19;Pauline;w
19;Carl;m
19;Luis;m
19;Niklas;m
19;Vincent;m
18;Ela;w
18;Greta;w
18;Hanna;w
18;Laura;w
18;Lena;w
18;Nora;w
18;Constantin;m
18;Georg;m
17;Alexandra;w
17;Frida;w
17;Julia;w
17;Martha;w
17;Theresa;w
17;Ben;m
17;Jan;m
17;Justus;m
17;Tim;m
16;Emily;w
16;Maja;w
16;Paula;w
16;August;m
16;Caspar;m
16;Leopold;m
16;Levi;m
16;Milo;m
16;Simon;m
15;Mina;w
15;Rosa;w
15;Arthur;m
15;Christian;m
15;Ferdinand;m
15;Gabriel;m
15;Henry;m
15;Matteo;m
15;Otto;m
15;Raphael;m
14;Elif;w
14;Frieda;w
14;Lara;w
14;Lotte;w
14;Louisa;w
14;Louise;w
14;Mathilda;w
14;Finn;m
14;Jasper;m
14;Leander;m
14;Martin;m
14;Max;m
14;Noel;m
14;Oliver;m
14;Richard;m
14;Thomas;m
13;Alma;w
13;Amalia;w
13;Carlotta;w
13;Klara;w
13;Luna;w
13;Magdalena;w
13;Maya;w
13;Olivia;w
13;Zoe;w
13;Aaron;m
13;Adrian;m
13;Amir;m
13;Fabian;m
12;Ada;w
12;Antonia;w
12;Eva;w
12;Lotta;w
12;Viktoria;w
12;Antonio;m
12;Erik;m
12;Malik;m
12;Oscar;m
12;Rafael;m
12;Wilhelm;m
12;Yasin;m
11;Alicia;w
11;Anouk;w
11;Leyla;w
11;Matilda;w
11;Nur;w
11;Valentina;w
11;Edgar;m
11;Emilian;m
11;Jonah;m
11;Leonardo;m
10;Alva;w
10;Anni;w
10;Josefine;w
10;Lilly;w
10;Livia;w
10;Mara;w
10;Paulina;w
10;Romy;w
10;Florian;m
10;Fynn;m
10;Johan;m
10;Kasimir;m
10;Lasse;m
10;Mats;m
10;Omar;m
10;Pepe;m
9;Alice;w
9;Amina;w
9;Elena;w
9;Elise;w
9;Florentine;w
9;Liv;w
9;Miray;w
9;Nele;w
9;Noemi;w
9;Sara;w
9;Ahmad;m
9;Amin;m
9;Artur;m
