anzahl;vorname;geschlecht
64;Sophie;w
58;Marie;w
45;Alexander;m
45;Charlotte;w
38;Elias;m
36;Emilia;w
35;Paul;m
34;Maria;w
31;Noah;m
31;Emma;w
28;Anton;m
27;Luca;m
27;Sophia;w
26;Leon;m
25;Jonas;m
25;Luise;w
24;Elisabeth;w
23;Maximilian;m
22;Emil;m
22;Milan;m
21;Anna;w
21;Lena;w
21;Liam;m
21;Mia;w
20;Lukas;m
20;Mathilda;w
19;Felix;m
19;Johanna;w
19;Joshua;m
18;Hannah;w
18;Jakob;m
18;Helena;w
18;Karl;m
18;Leonard;m
18;Oskar;m
18;Theodor;m
17;Ella;w
17;Mila;w
16;Julia;w
16;Lea;w
16;Aaron;m
16;David;m
16;Gabriel;m
16;Jonathan;m
16;Julius;m
16;Niklas;m
15;Amelie;w
15;Mira;w
15;Finn;m
15;Johannes;m
14;Alma;w
14;Antonia;w
14;Clara;w
14;Helene;w
14;Luisa;w
14;Sofia;w
14;Ben;m
14;Christian;m
14;Friedrich;m
14;Henri;m
14;Henry;m
14;Julian;m
13;Katharina;w
13;kein;w
13;noch;w
13;Paula;w
13;Vorname;w
13;Louis;m
13;Luis;m
13;Moritz;m
13;Samuel;m
12;Laura;w
12;Lina;w
12;Maya;w
12;Adam;m
12;Adrian;m
12;Emilio;m
12;Gustav;m
12;Max;m
12;Philipp;m
11;Lara;w
11;Nele;w
11;Sara;w
11;Viktoria;w
11;Ali;m
11;Jan;m
11;Johann;m
11;Leo;m
11;Michael;m
11;Theo;m
11;Valentin;m
10;Elena;w
10;Ida;w
10;Pia;w
10;Sarah;w
10;Erik;m
10;Frederik;m
10;Sebastian;m
9;Alessia;w
9;Amalia;w
9;Elise;w
9;Emily;w
9;Frieda;w
9;Hanna;w
9;Lia;w
9;Mara;w
9;Marlene;w
9;Melissa;w
9;Arthur;m
9;Stella;w
9;Daniel;m
9;Lennox;m
9;Linus;m
9;Ole;m
9;Peter;m
9;Philip;m
9;Timo;m
8;Anastasia;w
8;Greta;w
8;Leonie;w
8;Lisa;w
8;Lucia;w
8;Matilda;w
8;Melina;w
8;Albert;m
8;Nora;w
8;Antonio;m
8;Pauline;w
8;Benjamin;m
8;Rosa;w
8;Carl;m
8;Ruth;w
8;Georg;m
8;Victoria;w
8;Josef;m
8;kein;m
8;Maxim;m
8;noch;m
8;Raphael;m
8;Tim;m
8;Vincent;m
8;Vorname;m
7;Alina;w
7;Aurelia;w
7;Elisa;w
7;Juna;w
7;Klara;w
7;Merle;w
7;Milena;w
7;Olivia;w
7;Andreas;m
7;Rose;w
7;August;m
7;Edgar;m
7;Lennard;m
7;Levi;m
7;Matti;m
7;Mohammad;m
6;Amira;w
6;Frida;w
6;Josefine;w
6;Josephine;w
6;Lilly;w
6;Lotta;w
6;Bruno;m
6;Lotte;w
6;Can;m
6;Lou;w
6;Eric;m
6;Louisa;w
6;Fabian;m
6;Louise;w
6;Fritz;m
6;Luna;w
6;Joel;m
6;Melody;w
6;Jonah;m
6;Tilda;w
6;Kurt;m
6;Zoe;w
6;Mats;m
6;Matteo;m
6;Mattis;m
6;Milo;m
6;Yasin;m
5;Ava;w
5;Eleni;w
5;Elif;w
5;Elli;w
5;Eva;w
5;Armin;m
5;Hermine;w
5;Efe;m
5;Isabelle;w
5;Emir;m
5;Jolie;w
5;Enno;m
5;Karlotta;w
5;Fiete;m
5;Lilli;w
5;Fynn;m
5;Linnea;w
5;Jasper;m
5;Livia;w
5;Juri;m
5;Lore;w
5;Justus;m
5;Luana;w
5;Kasimir;m
5;Mariella;w
5;Leander;m
5;Mathilde;w
5;Leopold;m
5;Mayla;w
5;Levin;m
5;Mina;w
5;Lino;m
5;Paulina;w
5;Luan;m
5;Su;w
5;Marcel;m
5;Summer;w
5;Mateo;m
5;Valentina;w
5;Maurice;m
5;Zoé;w
5;Mika;m
5;Mohamad;m
5;Muhammed;m
5;Nikita;m
5;Noam;m
5;Noel;m
5;Oliver;m
5;Phillip;m
5;Piet;m
5;Richard;m
5;Ryan;m
5;Tom;m
5;Tony;m
5;Yusuf;m
4;Ada;w
4;Alexia;w
4;Alva;w
4;Amy;w
4;Annelie;w
4;Anni;w
4;Annika;w
4;Aysima;w
4;Carlotta;w
4;Charlie;w
4;Ela;w
4;Elin;w
4;Elsa;w
4;Finja;w
4;Ahmed;m
4;Flora;w
4;Bo;m
4;Florentine;w
4;Carlos;m
4;Gabriele;w
4;Christoph;m
4;Grace;w
4;Dominic;m
4;Henriette;w
4;Dominik;m
4;Isabel;w
4;Eliah;m
4;Isabella;w
4;Emilian;m
4;Jessica;w
4;George;m
4;Joleen;w
4;Hamza;m
4;Juno;w
4;Hannes;m
4;Lana;w
4;Hans;m
4;Larissa;w
4;Henrik;m
4;Leni;w
4;Ibrahim;m
4;Lieselotte;w
4;Igor;m
4;Liliana;w
4;Janosch;m
4;Linda;w
4;Jaron;m
4;Lucie;w
4;Jason;m
4;Madita;w
4;Jayden;m
4;Magdalena;w
4;Johan;m
4;Maja;w
4;John;m
4;Martha;w
4;Jon;m
4;Maryam;w
4;Junior;m
4;Milla;w
4;Lars;m
4;Nina;w
4;Lian;m
4;Nisa;w
4;Ludwig;m
4;Romy;w
4;Magnus;m
4;Ronja;w
4;Malik;m
4;Rosalie;w
4;Maria;m
4;Samira;w
4;Mark;m
4;Tessa;w
4;Martin;m
4;Valeria;w
4;Matthias;m
4;Vanessa;w
4;Mio;m
4;Yara;w
4;Mustafa;m
4;Zeynep;w
4;Nico;m
4;Nikolai;m
4;Nils;m
4;Onno;m
4;Patrick;m
4;Phil;m
4;Rafael;m
4;Robert;m
4;Robin;m
4;Ruben;m
4;Samir;m
4;Simon;m
4;Thomas;m
4;Tobias;m
4;Viktor;m
4;Werner;m
4;William;m
4;Wolfgang;m
3;Adele;w
3;Alicia;w
3;Amanda;w
3;Amelia;w
3;Andrea;w
3;Angelika;w
3;Anita;w
3;Annabelle;w
3;Annemarie;w
3;Arina;w
3;Aurora;w
3;Ayla;w
3;Aylin;w
3;Barbara;w
3;Carla;w
3;Carolina;w
3;Cassandra;w
3;Chiara;w
3;Ahmad;m
3;Christine;w
3;Al;m
3;Emelie;w
3;Alessio;m
3;Evelyn;w
3;Amar;m
3;Fabienne;w
3;Avi;m
3;Felicitas;w
3;Axel;m
3;Fiona;w
3;Ayden;m
3;Franziska;w
3;Bennet;m
3;Freya;w
3;Benno;m
3;Isabell;w
3;Bilal;m
3;Jamila;w
3;Camille;m
3;Jasmin;w
3;Caspar;m
3;Jolina;w
3;Casper;m
3;Joline;w
3;Charlie;m
3;Julie;w
3;Christopher;m
3;Kimberly;w
3;Dean;m
3;Leah;w
3;Denis;m
3;Leila;w
3;Dennis;m
3;Lenia;w
3;Elyas;m
3;Leonora;w
3;Emanuel;m
3;Lili;w
3;Ensar;m
3;Lilith;w
3;Ferdinand;m
3;Lilou;w
3;Frank;m
3;Maila;w
3;Frederick;m
3;Malia;w
3;Hagen;m
3;Malou;w
3;Hasan;m
3;Margarete;w
3;Hugo;m
3;Mariam;w
3;Ilay;m
3;Marleen;w
3;Ilyas;m
3;Marta;w
3;James;m
3;Medina;w
3;Jamie;m
3;Michelle;w
3;Joachim;m
3;Miray;w
3;Jona;m
3;Miriam;w
3;Joris;m
3;Monika;w
3;Joseph;m
3;Naomi;w
3;Karim;m
3;Noemi;w
3;Kevin;m
3;Paige;w
3;Kilian;m
3;Petra;w
3;Lasse;m
3;Polly;w
3;Lenny;m
3;Rabia;w
3;Leonardo;m
3;Rita;w
3;Lias;m
3;Selina;w
3;Lucian;m
3;Selma;w
3;Luka;m
3;Sofie;w
3;Mailo;m
3;Theodora;w
3;Malte;m
3;Tuana;w
3;Marlon;m
3;Vera;w
3;Mathias;m
3;Vivien;w
3;Maximus;m
3;Yasmin;w
3;Mehmet;m
3;Yuna;w
3;Mohamed;m
3;Zoey;w
3;Muhammad;m
3;Zoë;w
3;Nick;m
3;Zuzanna;w
3;Niclas;m
3;Nicolas;m
3;Otto;m
3;Pan;m
3;Quang;m
3;Ragnar;m
3;Rainer;m
3;René;m
3;Reza;m
3;Sam;m
3;Selim;m
3;Siegfried;m
3;Stefan;m
3;Szymon;m
3;Thiago;m
3;Thore;m
3;Tyler;m
3;Willem;m
3;Yunus;m
2;Abigail;w
2;Alessandra;w
2;Alexa;w
2;Alexandra;w
2;Alice;w
2;Alissa;w
2;Amber;w
2;Amina;w
2;Anabel;w
2;Angelina;w
