anzahl;vorname;geschlecht
70;Sophie;w
59;Marie;w
37;Charlotte;w
36;Emil;m
36;Paul;m
35;Emilia;w
34;Alexander;m
34;Elias;m
34;Mia;w
30;Ben;m
30;Louis;m
30;Oskar;m
29;Emma;w
29;Luca;m
28;Felix;m
27;Leon;m
26;Sophia;w
25;Anna;w
25;Johanna;w
23;Anton;m
22;Maximilian;m
22;Noah;m
21;Ella;w
21;Maria;w
20;Hannah;w
20;Leonie;w
20;Friedrich;m
20;Jonas;m
20;Theo;m
19;Emily;w
19;Lena;w
18;Elisabeth;w
18;Oliver;m
18;Ida;w
17;Karl;m
17;Isabella;w
17;Niklas;m
17;Lina;w
17;Theodor;m
16;Laura;w
16;Tim;m
16;Mila;w
15;Erik;m
15;Julia;w
15;Finn;m
15;Lea;w
15;Pepe;m
15;Luisa;w
15;Nele;w
14;Fabian;m
14;Joel;m
14;Hanna;w
14;Liam;m
14;Lilly;w
14;Tom;m
14;Lucy;w
14;Pauline;w
13;Aaron;m
13;Adrian;m
13;Mathilda;w
13;Benjamin;m
13;Nora;w
13;David;m
13;Johann;m
13;Lukas;m
12;Alina;w
12;Clara;w
12;Leni;w
12;Edgar;m
12;Luise;w
12;Maxim;m
12;Melina;w
12;Moritz;m
12;Nils;m
12;Philipp;m
12;Samuel;m
12;Sebastian;m
11;Katharina;w
11;Mina;w
11;Sarah;w
11;Bruno;m
11;Fynn;m
11;Henry;m
11;Jan;m
11;Levi;m
11;Tobias;m
10;Luna;w
10;Emilio;m
10;Florian;m
10;Julius;m
10;Konstantin;m
10;Leonard;m
10;Lucas;m
10;Luis;m
10;Malte;m
10;Milan;m
10;Oscar;m
9;Amelia;w
9;Frieda;w
9;Greta;w
9;Helena;w
9;Isabelle;w
9;Lara;w
9;Magdalena;w
9;Maja;w
9;Marlene;w
9;Martha;w
9;Victoria;w
9;Viktoria;w
9;Constantin;m
9;Frederik;m
9;Hannes;m
9;Jakob;m
9;Jonathan;m
9;Julian;m
9;Max;m
9;Richard;m
8;Amelie;w
8;Elena;w
8;Elise;w
8;Eva;w
8;Frida;w
8;Joleen;w
8;Jolie;w
8;Josephine;w
8;Klara;w
8;Livia;w
8;Lotta;w
8;Rosalie;w
8;Christian;m
8;Jamie;m
8;Lennard;m
8;Noel;m
8;Ole;m
8;Raphael;m
8;Valentin;m
8;Wilhelm;m
7;Carlotta;w
7;Elisa;w
7;Finja;w
7;Helene;w
7;Louisa;w
7;Melissa;w
7;Olivia;w
7;Sofia;w
7;Bela;m
7;Carl;m
7;Eric;m
7;Justus;m
7;Leopold;m
7;Lio;m
7;Luke;m
7;Michael;m
7;Mika;m
7;Nick;m
7;Nico;m
7;Timo;m
6;Alma;w
6;Antonia;w
6;Celine;w
6;Henriette;w
6;Lisa;w
6;Lucia;w
6;Matilda;w
6;Mira;w
6;Pia;w
6;Ronja;w
6;Zoey;w
6;Adam;m
6;Andreas;m
6;Finnley;m
6;Gabriel;m
6;Hoang;m
6;Levin;m
6;Marc;m
6;Marlon;m
6;Martin;m
6;Nikolas;m
6;Otto;m
6;Patrick;m
6;Simon;m
6;Thomas;m
6;Tony;m
6;Vincent;m
5;Alexandra;w
5;Anastasia;w
5;Ashley;w
5;Carla;w
5;Emilie;w
5;Jane;w
5;Jasmin;w
