anzahl;vorname;geschlecht
57;Sophie;w
52;Marie;w
36;Emilia;w
32;Alexander;m
30;Elias;m
28;Ali;m
27;Maximilian;m
26;Charlotte;w
25;Yusuf;m
24;Leon;m
23;Noah;m
22;Emma;w
22;Mia;w
21;Felix;m
21;Hamza;m
20;David;m
20;Paul;m
19;Anna;w
19;Elif;w
19;Maria;w
19;Ben;m
19;Emil;m
19;Jonas;m
18;Emily;w
18;Lea;w
18;Lina;w
18;Sophia;w
18;Moritz;m
17;Hanna;w
17;Lilly;w
17;Luca;m
17;Max;m
17;Oskar;m
16;Ella;w
16;Laura;w
16;Amir;m
16;Leonard;m
16;Louis;m
16;Milan;m
16;Muhammed;m
15;Mila;w
15;Mira;w
15;Adam;m
15;Jonathan;m
14;Mathilda;w
14;Anton;m
14;Levi;m
14;Lukas;m
13;Amelie;w
13;Lena;w
13;Leonie;w
13;Nur;w
13;Zeynep;w
13;Emir;m
13;Jakob;m
13;Karl;m
12;Hannah;w
12;Johanna;w
12;Luisa;w
12;Mariam;w
12;Can;m
12;Daniel;m
12;Jan;m
12;Liam;m
12;Luis;m
12;Malik;m
12;Mohammad;m
12;Theo;m
12;Tim;m
11;Ela;w
11;Helena;w
11;Valentina;w
11;Alessio;m
11;Youssef;m
11;Ömer;m
10;Lara;w
10;Lia;w
10;Luise;w
10;Maya;w
10;Hassan;m
10;Linus;m
10;Mustafa;m
10;Vincent;m
9;Clara;w
9;Elisabeth;w
9;Josephine;w
9;Malak;w
9;Medina;w
9;Melina;w
9;Mina;w
9;Carl;m
9;Gabriel;m
9;Hussein;m
9;Niklas;m
9;Theodor;m
8;Alina;w
8;Amelia;w
8;Eva;w
8;Hira;w
8;Jasmin;w
8;Katharina;w
8;Leni;w
8;Marlene;w
8;Nisa;w
8;Ahmad;m
8;Arthur;m
8;Emilio;m
8;Fabian;m
8;Joel;m
8;Johann;m
8;Julian;m
8;Leo;m
8;Lucas;m
8;Matteo;m
8;Mohamed;m
8;Robert;m
7;Frida;w
7;Ida;w
7;Jana;w
7;Julia;w
7;Juna;w
7;Luna;w
7;Sarah;w
7;Vanessa;w
7;Aaron;m
7;Adrian;m
7;Albert;m
7;Andreas;m
7;Benjamin;m
7;Enes;m
7;Erik;m
7;Finn;m
7;Jasper;m
7;Kaan;m
7;Levin;m
7;Martin;m
7;Mehmet;m
7;Miran;m
7;Omar;m
7;Toprak;m
7;Yasin;m
6;Elina;w
6;Elisa;w
6;Elise;w
6;Fatima;w
6;Jolina;w
6;Lana;w
6;Louisa;w
6;Maja;w
6;Malina;w
6;Paulina;w
6;Pauline;w
6;Stella;w
6;Victoria;w
6;Aras;m
6;Baran;m
6;Bennet;m
6;Efe;m
6;Eymen;m
6;Ibrahim;m
6;James;m
6;John;m
6;Joshua;m
6;Karim;m
6;Luke;m
