anzahl;vorname;geschlecht
94;Marie;w
89;Sophie;w
82;Maria;w
73;Alexander;m
63;Charlotte;w
60;Emilia;w
56;Paul;m
54;Emma;w
52;Sophia;w
49;Elias;m
49;Emil;m
49;Maximilian;m
46;Oskar;m
44;Felix;m
44;Noah;m
42;Luise;w
41;Jakob;m
41;Anna;w
40;Anton;m
40;Mia;w
39;Jonas;m
38;Mila;w
36;Johanna;w
33;Ali;m
33;Leonard;m
33;Elisabeth;w
32;Adam;m
32;Mira;w
31;Johann;m
31;Marlene;w
31;Theodor;m
30;Lea;w
30;Jonathan;m
30;Lukas;m
29;Benjamin;m
29;David;m
29;Julius;m
29;Karl;m
28;Julian;m
28;Vincent;m
27;Daniel;m
27;Liam;m
27;Louis;m
26;Clara;w
26;Greta;w
26;Friedrich;m
26;Leon;m
24;Luisa;w
24;Pauline;w
24;Jan;m
24;Moritz;m
23;Antonia;w
23;Mathilda;w
23;Milan;m
22;Ela;w
22;Elif;w
22;Emily;w
22;Helena;w
22;Katharina;w
22;Lina;w
22;Mina;w
22;Victoria;w
22;Luca;m
22;Max;m
22;Valentin;m
21;Ava;w
21;Julia;w
21;Lena;w
21;Fabian;m
21;Luis;m
21;Samuel;m
21;Theo;m
20;Hannah;w
20;Helene;w
20;Paula;w
20;Frederik;m
20;Gabriel;m
20;Raphael;m
19;Amelie;w
19;Elena;w
19;Elisa;w
19;Ella;w
19;Leonie;w
19;Ben;m
19;Finn;m
19;Leo;m
19;Niklas;m
18;Lara;w
18;Louise;w
18;Maja;w
18;Maya;w
18;Erik;m
18;Philipp;m
18;Richard;m
18;Simon;m
17;Frieda;w
17;Isabella;w
17;Nur;w
17;Sofia;w
17;Henri;m
17;Johannes;m
17;Levi;m
17;Michael;m
16;Laura;w
16;Matilda;w
16;Olivia;w
16;Rosa;w
15;Frida;w
15;Bruno;m
15;Isabel;w
15;Can;m
15;Viktoria;w
15;Ole;m
15;Oliver;m
14;Alma;w
14;Hanna;w
14;Benedikt;m
14;Ida;w
14;Gustav;m
14;Josephine;w
14;Ilyas;m
14;Martha;w
14;Leopold;m
14;Merle;w
14;Mattis;m
14;Stella;w
14;Muhammed;m
14;Zeynep;w
13;Adrian;m
13;Alexandra;w
13;Justus;m
13;Klara;w
13;Konstantin;m
13;Lilly;w
13;Linus;m
13;Luna;w
13;Maxim;m
13;Milena;w
13;Nikolas;m
13;Tim;m
13;Yusuf;m
12;Ada;w
12;Eva;w
12;Leni;w
12;Arthur;m
12;Leyla;w
12;Franz;m
12;Nele;w
12;Hamza;m
12;Nora;w
12;Henry;m
12;Paulina;w
12;Joshua;m
12;Zoe;w
12;Malik;m
12;Martin;m
12;Mats;m
12;Nils;m
11;Amelia;w
11;Aylin;w
11;Carlotta;w
11;Elsa;w
11;Amir;m
11;Lisa;w
11;Christian;m
11;Lucia;w
11;Ludwig;m
11;Magdalena;w
11;Matteo;m
11;Tilda;w
11;Sebastian;m
11;Valerie;w
11;Thomas;m
11;Wilhelm;m
10;Amalia;w
10;Amira;w
10;Aaron;m
10;Carla;w
10;August;m
10;Elise;w
10;Bilal;m
10;Livia;w
10;Carl;m
10;Lotta;w
10;Constantin;m
10;Lotte;w
10;Elyas;m
10;Mara;w
10;Georg;m
10;Melina;w
10;Jannis;m
10;Miriam;w
10;Joris;m
10;Nina;w
10;Kaan;m
10;Sara;w
10;Milo;m
10;Nicolas;m
10;Oscar;m
9;Alina;w
9;Elin;w
9;Henriette;w
9;Ahmad;m
9;Jana;w
9;Benno;m
9;Jasmin;w
9;Carlo;m
9;Josefine;w
9;Deniz;m
9;Nika;w
9;Emilio;m
9;Nisa;w
9;Fritz;m
9;Sarah;w
9;Leander;m
9;Valentina;w
9;Luka;m
9;Yasmin;w
9;Malte;m
9;Mateo;m
9;Noel;m
9;Tom;m
9;Yasin;m
9;Ömer;m
8;Aurelia;w
8;Aurora;w
8;Juna;w
8;Karla;w
8;Lia;w
8;Lou;w
8;Antonio;m
8;Louisa;w
8;Bela;m
8;Melissa;w
8;Efe;m
8;Meryem;w
8;Ilay;m
8;Rosalie;w
8;Isa;m
8;Theresa;w
8;Jasper;m
8;Jona;m
8;Josef;m
8;Karim;m
8;Konrad;m
8;Leonardo;m
8;Lio;m
8;Mahir;m
8;Mohammed;m
8;Mustafa;m
8;Peter;m
8;Robert;m
8;William;m
8;Youssef;m
7;Amina;w
7;Fatima;w
7;Grace;w
7;Isabelle;w
7;Linda;w
7;Melek;w
7;Pia;w
7;Thea;w
7;Zahraa;w
7;Ahmet;m
7;Alessio;m
7;Amin;m
7;Antoni;m
7;Emir;m
7;Emre;m
7;Eren;m
7;Hasan;m
7;Hassan;m
7;Ibrahim;m
7;Jacob;m
7;James;m
7;Joel;m
7;Jonte;m
7;Lars;m
7;Levin;m
7;Lian;m
7;Marcel;m
7;Matthias;m
7;Mohammad;m
7;Muhammad;m
7;Nathan;m
7;Nico;m
7;Robin;m
7;Viktor;m
7;Willem;m
7;Wolfgang;m
7;Yiğit;m
6;Alessia;w
6;Finja;w
6;Fiona;w
6;Lilli;w
6;Liselotte;w
6;Liya;w
6;Lola;w
6;Lucía;w
6;Malou;w
6;Margarete;w
6;Mariam;w
6;Marina;w
6;Mathilde;w
6;Milla;w
6;Mona;w
6;Noemi;w
6;Romy;w
6;Selma;w
6;Sofie;w
6;Tala;w
6;Tuana;w
6;Vanessa;w
6;Albert;m
6;Arda;m
6;Balthasar;m
6;Caspar;m
6;Christoph;m
6;Emilian;m
6;Eymen;m
6;Florian;m
6;Fynn;m
6;Heinrich;m
6;Jamil;m
6;Joachim;m
6;Joseph;m
6;Kai;m
6;Kian;m
6;Kilian;m
6;Kuzey;m
6;Lasse;m
6;Lucas;m
6;Manfred;m
6;Mathis;m
6;Mert;m
6;Michel;m
6;Mohamed;m
6;Nikola;m
6;Omar;m
6;Otto;m
6;Philip;m
6;Timo;m
6;Yunus;m
5;Aliya;w
5;Anastasia;w
5;Anni;w
5;Anouk;w
5;Cara;w
5;Claire;w
5;Diana;w
5;Edda;w
5;Elina;w
5;Elli;w
5;Emilie;w
5;Florentine;w
5;Gabriela;w
