anzahl;vorname;geschlecht
115;Marie;w
109;Sophie;w
79;Charlotte;w
77;Maria;w
62;Alexander;m
60;Emilia;w
59;Maximilian;m
48;Emma;w
46;Paul;m
45;Elias;m
44;Noah;m
43;Anna;w
43;Luise;w
42;Sophia;w
41;Anton;m
40;Jakob;m
40;Jonathan;m
40;Clara;w
38;Emil;m
38;Felix;m
38;Elisabeth;w
34;Jonas;m
33;Valentin;m
33;Mia;w
32;David;m
32;Johanna;w
31;Mila;w
30;Julian;m
30;Oskar;m
29;Hannah;w
29;Gabriel;m
29;Moritz;m
28;Benjamin;m
28;Julius;m
28;Theodor;m
27;Helene;w
27;Adam;m
26;Elisa;w
26;Lina;w
26;Johannes;m
26;Philipp;m
26;Samuel;m
25;Laura;w
25;Mathilda;w
24;Lara;w
24;Carl;m
24;Friedrich;m
23;Ben;m
23;Daniel;m
23;Henri;m
23;Johann;m
23;Liam;m
23;Lukas;m
22;Katharina;w
22;Marlene;w
22;Matilda;w
22;Nora;w
22;Henry;m
22;Karl;m
22;Leon;m
21;Ella;w
21;Helena;w
21;Luis;m
20;Lucia;w
20;Victoria;w
20;Louis;m
20;Max;m
19;Antonia;w
19;Frieda;w
19;Louisa;w
19;Sofia;w
19;Leopold;m
19;Levi;m
19;Linus;m
19;Tim;m
18;Carlotta;w
18;Elif;w
18;Ida;w
18;Isabella;w
18;Luisa;w
18;Ali;m
18;Luca;m
18;Michael;m
18;Vincent;m
17;Lea;w
17;Mira;w
17;Adrian;m
17;Leonard;m
16;Hanna;w
16;Lena;w
16;Paula;w
16;Sara;w
16;Ferdinand;m
16;Finn;m
15;Amalia;w
15;Amelie;w
15;Lotta;w
15;Arthur;m
15;Kilian;m
15;Leo;m
15;Matteo;m
15;Milan;m
15;Milo;m
15;Niklas;m
15;Peter;m
15;Simon;m
15;Tom;m
14;Ava;w
14;Elena;w
14;Greta;w
14;Josephine;w
14;Martha;w
14;Maya;w
14;Christian;m
14;Georg;m
14;Jonah;m
14;Konrad;m
14;Leander;m
14;Martin;m
14;Richard;m
13;Ela;w
13;Emily;w
13;Leonie;w
13;Lisa;w
13;Livia;w
13;Valentina;w
13;Viktoria;w
13;Aaron;m
13;Emilio;m
13;Fritz;m
13;Jannis;m
13;Jasper;m
13;Raphael;m
12;Alina;w
12;Alma;w
12;Frida;w
12;Lilly;w
12;Olivia;w
12;Paulina;w
12;Antonio;m
12;Constantin;m
12;Franz;m
12;Frederik;m
12;Jacob;m
12;Jan;m
12;Justus;m
12;Mateo;m
12;Maxim;m
11;Josefine;w
11;Louise;w
11;Luna;w
11;Mina;w
11;Tilda;w
11;Emilian;m
11;Florian;m
11;Hannes;m
11;Ludwig;m
11;Mika;m
11;Muhammed;m
11;Ole;m
11;Oliver;m
11;Rafael;m
11;Theo;m
11;William;m
10;Amelia;w
10;Isabel;w
10;Julia;w
10;Lia;w
10;Magdalena;w
10;Maja;w
10;Nele;w
10;Rosa;w
10;Sarah;w
10;Amir;m
10;Benedikt;m
10;Konstantin;m
10;Luka;m
10;Mattis;m
10;Wilhelm;m
9;Alexandra;w
9;Amira;w
9;Anastasia;w
9;Carla;w
9;Emilie;w
9;Malou;w
9;Mara;w
9;Milena;w
9;Rosalie;w
9;Zoe;w
9;Can;m
9;Caspar;m
9;Fabian;m
9;Jürgen;m
9;Karim;m
9;Lennard;m
9;Leonardo;m
9;Malik;m
9;Mohamed;m
9;Nicolas;m
9;Thomas;m
9;Tobias;m
8;Ada;w
8;Amina;w
8;Anni;w
8;Elise;w
8;Lana;w
8;Lotte;w
8;Madeleine;w
8;Melina;w
8;Selma;w
8;Theresa;w
8;Andreas;m
8;August;m
8;Bruno;m
8;Emin;m
8;Erik;m
8;Hugo;m
8;Joshua;m
8;Kaan;m
8;Lasse;m
8;Levin;m
8;Lucas;m
8;Nikolas;m
8;Noel;m
8;Otto;m
8;Stefan;m
7;Elina;w
7;Elli;w
7;Estelle;w
7;Finja;w
7;Florentine;w
7;Franziska;w
7;Isabelle;w
7;Karla;w
7;Klara;w
7;Lilith;w
7;Liv;w
7;Lola;w
7;Pauline;w
7;Pia;w
7;Elyas;m
7;Emanuel;m
7;Emir;m
7;Gustav;m
7;James;m
7;Kian;m
7;Lionel;m
7;Mark;m
7;Philip;m
7;Robert;m
7;Sami;m
7;Victor;m
7;Ömer;m
6;Amélie;w
6;Aurelia;w
6;Christina;w
6;Edda;w
6;Eva;w
6;Gerda;w
6;Leni;w
6;Leyla;w
6;Melissa;w
6;Miriam;w
6;Mona;w
6;Philine;w
6;Rose;w
6;Ruth;w
6;Su;w
6;Yade;w
6;Zeynep;w
6;Alfred;m
6;Edgar;m
6;Fynn;m
6;Hans;m
6;Hendrik;m
6;Jona;m
6;Josef;m
6;Kalle;m
6;Kenan;m
6;Malte;m
6;Mats;m
6;Mikail;m
6;Neo;m
6;Nikolai;m
6;Sebastian;m
6;Valentino;m
6;Willi;m
6;Wolfgang;m
5;Andrea;w
