anzahl;vorname;geschlecht
30;Marie;w
26;Sophie;w
21;Alexander;m
16;Charlotte;w
14;Anna;w
14;Johanna;w
12;Paul;m
12;Lea;w
11;Emil;m
11;Felix;m
11;Mia;w
11;Sophia;w
10;Louis;m
10;Luca;m
10;Max;m
10;Maximilian;m
10;Tim;m
10;Elisabeth;w
10;Emilia;w
9;Oskar;m
9;Emily;w
9;Emma;w
9;Maria;w
9;Pia;w
8;Ben;m
8;Elias;m
8;Leon;m
8;Amelie;w
8;Isabella;w
8;Luna;w
8;Victoria;w
7;Joel;m
7;Jonas;m
7;Karl;m
7;Michael;m
7;Tom;m
7;Hannah;w
7;Jasmin;w
7;Leonie;w
7;Lina;w
7;Sofia;w
6;Anton;m
6;Benjamin;m
6;Finn;m
6;Florian;m
6;Lukas;m
6;Maxim;m
6;Amy;w
6;Nils;m
6;Elena;w
6;Noah;m
6;Julia;w
6;Leni;w
6;Lilly;w
6;Olivia;w
6;Paula;w
6;Valentina;w
5;Adrian;m
5;Arthur;m
5;Bruno;m
5;Fabian;m
5;Jack;m
5;Linus;m
5;Annabelle;w
5;Ole;m
5;Finja;w
5;Philipp;m
5;Helena;w
5;Richard;m
5;Isabell;w
5;Samuel;m
5;Melissa;w
5;Thomas;m
5;Mila;w
5;Timo;m
5;Nele;w
5;Vincent;m
5;Nina;w
5;Zoe;w
4;Antonio;m
4;Damian;m
4;Alexandra;w
4;Fynn;m
4;Amina;w
4;Jonathan;m
4;Annabell;w
4;Levi;m
4;Elise;w
4;Malte;m
4;Frida;w
4;Matteo;m
4;Ida;w
4;Mattis;m
4;Jolie;w
4;Nick;m
4;Josephine;w
4;Peter;m
4;Lara;w
4;René;m
4;Maja;w
4;Simon;m
4;Mariella;w
4;Tobias;m
3;Amira;w
3;Aaron;m
3;Amélie;w
3;Anthony;m
3;Anastasia;w
3;Christian;m
3;Angelina;w
3;Constantin;m
3;Anja;w
3;Daniel;m
3;Clara;w
3;David;m
3;Emelie;w
3;Elyas;m
3;Fabienne;w
3;Erik;m
3;Florentina;w
3;Finley;m
3;Frieda;w
3;Frank;m
3;Helga;w
3;Friedrich;m
3;Isabelle;w
3;Henning;m
3;Joleen;w
3;Jakob;m
3;Joy;w
3;Jason;m
3;Lieselotte;w
3;Lennard;m
3;Lisa-Marie;w
3;Leo;m
3;Luisa;w
3;Liam;m
3;Matilda;w
3;Luis;m
3;Merle;w
3;Magnus;m
3;Milana;w
3;Marlon;m
3;Pauline;w
3;Martin;m
3;Romy;w
3;Mats;m
3;Sarah;w
3;Mika;m
3;Stella;w
3;Moritz;m
3;Vanessa;w
3;Nikita;m
3;Phil;m
3;Robert;m
3;Theo;m
3;Theodor;m
3;Tommy;m
3;Valentin;m
2;Alma;w
2;Amalia;w
2;Andrea;w
2;Anh;w
2;Anna-Lena;w
2;Anni;w
2;Aurelia;w
2;Adam;m
2;Ava;w
2;Aidan;m
2;Cataleya;w
2;Alwin;m
2;Celine;w
2;Andreas;m
2;Elisabeta;w
2;Ari;m
2;Elsa;w
2;Arminius;m
2;Erika;w
2;Aron;m
2;Evelina;w
2;Bastian;m
2;Felicia;w
2;Benedict;m
2;Felina;w
2;Bryan;m
2;Fiona;w
2;Christopher;m
2;Gisela;w
2;Colin;m
2;Grace;w
2;Conner;m
2;Hanna;w
2;Dario;m
2;Hayley;w
2;Dean;m
2;Jacqueline;w
2;Dennis;m
2;Jennifer;w
2;Doanh;m
2;Jody;w
2;Dominique;m
2;Josefine;w
2;Dorian;m
2;Karla;w
2;Edgar;m
2;Katelyn;w
2;Edwin;m
2;Katharina;w
2;Eliah;m
2;Kerstin;w
2;Erich;m
2;Klara;w
2;Gerhard;m
2;Larissa;w
2;Harald;m
2;Laura;w
2;Henri;m
2;Lea-Sophie;w
2;Henry;m
2;Leticia;w
2;Jannis;m
2;Liliana;w
2;Jasper;m
2;Lilli;w
2;Jayden;m
2;Linda;w
2;Johann;m
2;Lisa;w
2;Johannes;m
2;Lotta;w
2;John;m
2;Lucia;w
2;Jonah;m
2;Lucy;w
2;Julian;m
2;Luise;w
2;Julien;m
2;Madita;w
2;Justus;m
2;Mae;w
2;Lars;m
2;Marla;w
2;Leonas;m
2;Martha;w
2;Leopold;m
2;Mathilda;w
2;Levian;m
2;Melina;w
2;Lewis;m
2;Melody;w
2;Lias;m
2;Mia-Fabienne;w
2;Lucas;m
2;Mia-Sophie;w
2;Luke;m
2;Milena;w
2;Marc;m
2;Minh;w
2;Marco;m
2;Mira;w
2;Marten;m
2;Neele;w
2;Matheo;m
2;Nikita;w
2;Maurice;m
2;Nora;w
2;Mick;m
2;Rosalie;w
2;Mihai;m
2;Ruby;w
2;Milan;m
2;Samantha;w
2;Niklas;m
2;Scarlett;w
2;Pepe;m
2;Selina;w
2;Ragnar;m
2;Sofi;w
2;Riley;m
2;Sofie;w
2;Romano;m
2;Stefanie;w
2;Sascha;m
2;Sunny;w
2;Sebastian;m
2;Susanne;w
2;Siegfried;m
2;Tabea;w
2;Stefan;m
2;Tamara;w
2;Stephan;m
2;Tamina;w
2;Sven;m
2;Valeria;w
2;Thorben;m
2;Vivien;w
2;Til;m
2;Zoey;w
2;Till;m
2;Zoé;w
2;Tino;m
2;Tyler;m
2;Vito;m
2;Willi;m
2;William;m
2;Wolfgang;m
1;;w
1;Abigail;w
1;Abrafi;w
1;Ada;w
1;Adele;w
1;Adelheid;w
1;Aaron-Alexander;m
1;Adelina;w
1;Aato;m
1;Adriana;w
1;Adu;m
1;Agyla;w
1;Aiden;m
1;Alana;w
1;Aiven;m
1;Aleah;w
1;Aladin;m
1;Aleksandrovna;w
1;Alain;m
1;Alena;w
1;Albert;m
1;Alessa;w
1;Alexandros;m
1;Alessia;w
1;Alfred;m
1;Alexandria;w
1;Ali;m
1;Alexia;w
1;Aljoscha;m
1;Alexis;w
1;Amandus;m
1;Alice;w
1;András;m
1;Alina;w
1;André;m
1;Alina-Zoey;w
1;Anděl;m
1;Aline;w
1;Ange;m
1;Alisa;w
