anzahl;vorname;geschlecht;position
60;Marie;w;2
46;Sophie;w;2
43;Paul;m;1
43;Emilia;w;1
41;Ella;w;1
40;Alexander;m;2
40;Emma;w;1
36;Charlotte;w;1
35;Leon;m;1
35;Oskar;m;1
33;Maria;w;2
32;Anton;m;1
29;Felix;m;1
28;Emil;m;1
28;Karl;m;1
28;Louis;m;1
27;Finn;m;1
27;Theo;m;1
26;Lena;w;1
26;Leonie;w;1
26;Mia;w;1
25;Lea;w;1
25;Mila;w;1
25;Noah;m;1
25;Theodor;m;1
24;Leni;w;1
24;Lina;w;1
24;Ben;m;1
24;Moritz;m;1
23;Lara;w;1
23;Marie;w;1
23;Jonas;m;1
22;Charlotte;w;2
22;Anna;w;1
22;Alexander;m;1
22;Elias;m;1
21;Emilia;w;2
21;Hannah;w;1
21;Mathilda;w;1
21;Paula;w;1
21;Sophia;w;1
20;Luca;m;1
20;Emily;w;1
19;Paul;m;2
19;Jakob;m;1
19;Maximilian;m;1
19;Elisabeth;w;1
19;Frieda;w;1
19;Luise;w;1
18;Maximilian;m;2
18;Erik;m;1
18;Liam;m;1
18;Lukas;m;1
18;Clara;w;1
18;Greta;w;1
18;Nele;w;1
17;Elias;m;2
17;Henry;m;1
17;Leo;m;1
17;Pepe;m;1
17;Laura;w;1
17;Marlene;w;1
17;Pauline;w;1
16;Jonathan;m;1
16;Leonard;m;1
16;Raphael;m;1
16;Alma;w;1
16;Tim;m;1
16;Vincent;m;1
15;Isabella;w;1
15;Klara;w;1
15;Fritz;m;1
15;Milan;m;1
14;Elisabeth;w;2
14;Helene;w;2
14;Sophia;w;2
14;Helena;w;1
14;Ida;w;1
14;Adam;m;1
14;Maja;w;1
14;Fiete;m;1
14;Matteo;m;1
14;Max;m;1
14;Niklas;m;1
14;Tom;m;1
13;Luisa;w;2
13;Frida;w;1
13;Arthur;m;1
13;Benjamin;m;1
13;Johann;m;1
13;Levi;m;1
13;Luis;m;1
12;Karl;m;2
12;Michael;m;2
12;Carlotta;w;1
12;Elena;w;1
12;Lia;w;1
12;Mara;w;1
12;Maria;w;1
12;Martha;w;1
12;Melina;w;1
12;Olivia;w;1
12;Sophie;w;1
12;Ole;m;1
11;Friedrich;m;2
11;Luise;w;2
11;Marlene;w;2
11;Amelie;w;1
11;Bruno;m;1
11;Hanna;w;1
11;Edgar;m;1
11;Johanna;w;1
11;Henri;m;1
11;Juna;w;1
11;Joshua;m;1
11;Lilly;w;1
11;Julian;m;1
11;Lisa;w;1
11;Mats;m;1
11;Nora;w;1
11;Mika;m;1
11;Philipp;m;1
11;Richard;m;1
10;James;m;2
10;Joel;m;2
10;Martin;m;2
10;Valentin;m;2
10;Anna;w;2
10;Emma;w;2
10;Katharina;w;2
10;Lotte;w;2
10;Rose;w;2
10;Hedi;w;1
10;Julia;w;1
10;Lotta;w;1
10;Adrian;m;1
10;Luna;w;1
10;Friedrich;m;1
10;Mina;w;1
10;Jannis;m;1
10;Thea;w;1
10;John;m;1
10;Tilda;w;1
10;Justus;m;1
10;Maxim;m;1
10;Tobias;m;1
9;Marie;w;3
9;Anton;m;2
9;David;m;2
9;Jakob;m;2
9;Peter;m;2
9;Elisa;w;2
9;Lotta;w;2
9;Louise;w;2
9;Elisa;w;1
9;Mira;w;1
9;Paulina;w;1
9;Florian;m;1
9;Sofia;w;1
9;Franz;m;1
9;Frederik;m;1
9;Gustav;m;1
9;Hugo;m;1
9;Linus;m;1
9;Milo;m;1
9;Toni;m;1
8;Andreas;m;2
8;Elise;w;2
8;Johanna;w;2
8;Rosa;w;2
8;Sofia;w;2
8;Antonia;w;1
8;Eva;w;1
8;Karla;w;1
8;Lucy;w;1
8;Luisa;w;1
8;Merle;w;1
8;Miriam;w;1
8;Fynn;m;1
8;Pia;w;1
8;Jonah;m;1
8;Romy;w;1
8;Julius;m;1
8;Sara;w;1
8;Kilian;m;1
8;Stella;w;1
8;Konstantin;m;1
8;Leonardo;m;1
8;Luke;m;1
8;Matheo;m;1
8;Nick;m;1
8;Nils;m;1
8;Oliver;m;1
8;Valentin;m;1
7;Alfred;m;2
7;Benjamin;m;2
7;Daniel;m;2
7;Felix;m;2
7;Fritz;m;2
7;Heinrich;m;2
7;Julius;m;2
7;Levi;m;2
7;Ella;w;2
7;Louis;m;2
7;Mathilda;w;2
7;Luca;m;2
7;Oskar;m;2
7;Robert;m;2
7;Sebastian;m;2
7;Alina;w;1
7;Ava;w;1
7;Helene;w;1
7;Laila;w;1
7;Milla;w;1
7;Aaron;m;1
7;August;m;1
7;Benedikt;m;1
7;David;m;1
7;Dominik;m;1
7;Jan;m;1
7;Jona;m;1
7;Lian;m;1
7;Matti;m;1
7;Neo;m;1
7;Nico;m;1
7;Phil;m;1
7;Samuel;m;1
7;Sebastian;m;1
7;Simon;m;1
6;Sophie;w;3
6;Amalia;w;2
6;Frieda;w;2
6;Louisa;w;2
6;Paula;w;2
6;August;m;2
6;Pauline;w;2
6;Emil;m;2
6;Theresa;w;2
6;Georg;m;2
6;Valentina;w;2
6;Johannes;m;2
6;Victoria;w;2
6;Josef;m;2
6;Joshua;m;2
6;Leander;m;2
6;Noah;m;2
6;Oliver;m;2
6;Pepe;m;2
6;Stefan;m;2
6;Theodor;m;2
6;Alicia;w;1
6;Amalia;w;1
6;Carla;w;1
6;Diana;w;1
6;Elina;w;1
6;Emmi;w;1
6;Heidi;w;1
6;Hilda;w;1
6;Jasmin;w;1
6;Karlotta;w;1
6;Katharina;w;1
6;Lotte;w;1
6;Lucia;w;1
6;Magdalena;w;1
6;Matilda;w;1
6;Melissa;w;1
6;Minna;w;1
6;Nina;w;1
6;Bela;m;1
6;Ronja;w;1
6;Bennet;m;1
6;Rosa;w;1
6;Carl;m;1
6;Rosalie;w;1
6;Gabriel;m;1
6;Sofie;w;1
6;Georg;m;1
6;Tessa;w;1
6;Jamie;m;1
6;Yuna;w;1
6;Jason;m;1
6;Jonte;m;1
6;Lio;m;1
6;Ludwig;m;1
6;Marlon;m;1
6;Mateo;m;1
6;Mio;m;1
6;Nikita;m;1
6;Timo;m;1
5;Alexander;m;3
5;Elisabeth;w;3
5;Alexandra;w;2
5;Aurelia;w;2
5;Aurora;w;2
5;Elina;w;2
5;Florentine;w;2
5;Gerda;w;2
5;Ida;w;2
5;Lou;w;2
5;Aaron;m;2
5;Lucia;w;2
5;Arthur;m;2
5;Malou;w;2
5;Bennet;m;2
5;Martha;w;2
5;Erich;m;2
5;Matilda;w;2
5;Erik;m;2
5;Susanne;w;2
